Prop_ID,Name,Location,Zip
Q313,Arverne Playground,Arverne Blvd. bet. Beach 56 St. and Beach 54 St.,11692
Q310,Glen Oaks Oval,"74 Ave., 260 St.",11004
X190,Tiffany Playground,Fox St to Tiffany St bet. E 167 St and E 165 St,10459
MZ30,GREENSTREET,Leonard St And W. Broadway And Broadway,null
MZ31,GREENSTREET,La Guardia Pl. btw Bleecker & W Houston,null
QZ1009,Rain garden/artifical wetland Queens Plaza East S,Queens Plaza 3,null
X193,Stars & Stripes Playground,Crawford Ave. at Baychester Ave.,10466
X194,Captain Rivera Playground,E 156 St bet. Jackson Av and Forest Av,10455
X196,Haffen Park,Hammersley Ave. to Burke Ave. bet. Ely Ave. and Gunther Ave.,10469
X197,Mosholu Playground,Mosholu Parkway South bet. Bainbridge Ave. and Briggs Ave.,10458
Q220D,Foch Sitting Area,"Van Wyck Exwy. Sr. Rd. E., 139 St., Fooch Blvd.",11436
Q220C,Dr. Charles R. Drew Park,"Van Wyck Exwy. Sr. Rd. E., 140 St. bet. 115 Ave. and 116 Ave.",11436
Q220F,Maple Grove Park,Hoover Ave. bet. Queens Blvd. and 132 St.,11415
Q220E,Playground One Forty,"Van Wyck Exwy. Sr. Rd. E., 140 St. bet. 120 Ave. and Rockaway Blvd.",11436
Q307,Delphin H. Greene Playground,121 Ave. bet. 235 St. and 237 St.,11411
QZ90,Nathaniel Schneider Triangle,WoodhAvn Bl & Trotting Course Lane,null
Q306,The Painter's Playground,Alderton St. bet. Dieterle Cr. and Ellwell Cr.,11374
Q220B,Norelli-Hargreaves Playground,"Van Wyck Exwy. Sr. Rd. E., 142 St., 106 Ave.",11435
Q309,Jamaica Bay Park,Mott Basin to the City Line,"11096, 11430, 11691"
Q308,Bowne Playground,Union St. bet. Barclay Ave. and Sanford Ave.,11355
Q303,Travers Park,34 Ave. bet. 77 St. and 78 St.,11372
Q302,Evergreen Park,St Felix Ave. bet. Seneca Ave. and 60 Pl.,11385
Q305,Mafera Park,65 Pl. bet. Shaler Ave. and the rail yards,11385
Q304,Ehrenreich-Austin Playground,Austin St. bet. 76 Ave. and 76 Dr.,11375
Q220G,Hoover - Manton Playgrounds,"Manton St. bet. 83 Ave., 134 St. and Main St.",11435
Q301,Jamaica Playground,"Union Hall St., 160 St. bet. 110 Ave. and 109 Ave.",11433
Q300,Kissena Corridor Park,"Booth Memorial Ave., Crommelin St., Colden St. bet. College Pt. Blvd. and Kissena Blvd.",11355
X182,Millbrook Playground,E. 135 St. bet. Cypress Ave. and St Ann's Ave.,10454
X180,Whalen Park,Perry Ave. bet. E. 205 St. and E. 208 St,10467
X185,Dunbar Playground,"E 161 St, Trinity Av, E 163 St, Cauldwel",10456
MZ43,GREENSTREET,Pearl St And Ave Of The Finest At Fdr Dr,null
X186,Riverdale Playground,Hudson Manor Ter bet. W 237 St and W 236 St,10463
X183,Bruckner Playground,Brinsmade Ave. bet. Cross Bronx Ser. Rd. and Swinton Ave.,10465
X187,Givan Square,E. Gunhill Rd. and Eastchester Rd. bet. Arnow Ave. and Adee Ave..,10469
X188,Wakefield Playground,Matilda Ave. to Carpenter Ave. bet. E. 239 St. and E. 240 St.  ,10470
R038B,Park,"Boundary Ave., Midland Ave., Lincoln Ave., Poultney St.",10306
R038A,Midland Field,"Midland Ave., Mason Ave., Bedford Ave., Boundary Ave.",10306
Q339,Cambria Playground,"Francis Lewis Blvd., 121 Ave. bet. 219 St. and 222 St.",11411
Q334,Playground Twenty One,166 St. bet. 21 Rd. and 21 Ave.,11357
Q333,Ravenswood Playground,21 St. bet. 34 Ave. and 35 Ave.,11106
Q332,Woodtree Playground,20 Ave. bet. 37 St. and 38 St.,11105
Q338,Admiral Park,Little Neck Pkwy. bet. 42 Ave. and 43 Ave.,11363
Q337,Maurice A Fitzgerald Playground,106 St. bet. Atlantic Ave. and 94 Ave.,11416
M283A,Battery Park City,bet. Hudson River and South End Ave. S/o Liberty St.,10280
Q336,Judge Moses Weinstein Playground,"Union Turnpike, Vleigh Pl., 141 St.",11367
Q335,Russell Sage Playground,Booth St. bet. 68 Ave. and 68 Dr.,11375
Q340,Torsney Playground,Skillman Ave. bet. 41 St. and 43 St.,11104
Q329,Pomonok Playground,"Kissena Blvd., 155 St. bet. 65 Ave. and Melbourne Ave.",11367
Q328,Bellerose Playground,85 Ave. bet. 248 St. and 249 St.,11426
Q321,Van Alst Playground,21 St. bet. 29 Ave. and 30 Ave.,11102
Q320,Vleigh Playground,"70 Rd., 71 Ave. bet. 150 St. and Kissena Blvd.",11367
Q322,Bellaire Playground,Hillside Ave. bet. 207 St. and 208 St.,11427
Q325,Gladys Warren Triangle,"Hollis Ave., 104 Ave., 194 St.",11412
Q327,Castlewood Playground,Little Neck Pkwy. bet. 72 Ave. and 73 Ave.,11426
Q326,Bland Playground,40 Rd. bet. Prince St. and Main St.,11354
MZ21,GREENSTREET,Harlem River Drive Sr West And 5th Ave,null
Q330,Locust Manor Playground,121 Ave. bet. Lucas St. and 192 St.,11413
B184,Avenue R Mall,Ave. R from E. 7 St. To Coney Island Ave.,11223
B182,Howard Malls,"Blake Ave., Tapscott St., Howard Ave.",11212
B180,Flatbush Mall,"E. 17 St., South of Ave. H",11230
Q471,Hunter's Point South Park,Center Blvd. bet. 50 Ave. and 54 Ave.,11101
B178,Flatbush Malls,Glenwood Rd. bet. E. 23 St. and Coney Island Ave.,"11210, 11230"
B179,Flatbush Malls,E. 17 St. bet. Foster Ave. and Ave. H,11230
B175,Dahill Triangle,"Dahill Rd., 24 Ave., 62 St.",11204
B223G,Hillside Park,"Columbia Hts., Hicks St., bet. Middagh St. and Vine St.",11201
B174,Park,"Willmohr St., E. 91 St., Linden Blvd.",11212
B223H,Harry Chapin Playground,Columbia Hts. at Middagh St.,11201
B223E,Fruit Street Sitting Area,Columbia Heights and Orange St. To Cranberry St.,11201
B176,Trust Triangle,"Flatbush Ave., Schenctady Ave., Ave. O",11234
B223F,Squibb Park,Middagh St. between Columbia Heights & Furman St.,11201
B171,Linden Sitting Area,"Linden Blvd., Church Ave., E. 92 St.",11236
B223DA,Adam Yauch Park,"Atlantic Ave., Columbia Pl., State St.",11201
